stage,n,avg_ms,p50_ms,p90_ms,min_ms,max_ms
api.chunk_decode,36,75.312,63.394,105.354,0.934,113.075
api.chunk_prefill,36,130.011,127.442,133.524,123.647,196.323
api.llm_decode_loop,33,38.675,37.139,65.099,19.155,71.542
api.stream_decode,36,74.085,63.102,105.139,0.741,112.879
api.stream_prefill,36,129.664,127.004,133.201,123.288,195.611
audio.encode,35,8.097,7.645,8.254,6.988,15.368
control.force_listen,3,0.099,0.098,0.100,0.097,0.101
llm.decode,33,37.861,36.304,64.274,18.439,70.758
llm.prefill,34,40.316,39.668,41.662,37.103,53.933
queue.llm.enqueue,34,0.121,0.097,0.103,0.095,0.852
queue.llm.wait_space,35,0.118,0.102,0.119,0.098,0.459
queue.t2w.enqueue,16,0.503,0.374,0.400,0.321,2.515
queue.t2w.wait_data,43,198.870,147.145,193.139,0.094,2902.306
queue.tts.enqueue,33,0.122,0.103,0.110,0.097,0.716
queue.tts.wait_data,34,188.163,127.353,207.254,0.100,2902.951
queue.tts.wait_space,33,0.119,0.106,0.114,0.099,0.520
session.init.ref_audio_encode,1,47.404,47.404,47.404,47.404,47.404
session.init.ref_audio_prefill,1,6.316,6.316,6.316,6.316,6.316
t2w.infer,17,79.587,81.320,85.720,64.884,100.152
t2w.write,11,0.298,0.288,0.339,0.266,0.353
tts.infer,17,217.356,229.260,238.145,81.221,289.608
vision.encode,23,117.684,116.467,118.636,114.820,133.194
wait.llm_prefill_done,35,37.140,39.140,40.931,0.299,42.654
